"","gene_id","Teso_resistant","teso_susceptible","Teso_resistant.1","teso_susceptible.1"
"11137","AFUN019330",115,85,115,85
"11138","AFUN019331",43,5,43,5
"11139","AFUN019332",716,642,716,642
"11140","AFUN019333",1,17,1,17
"11141","AFUN019334",81,8,81,8
"11142","AFUN019335",11,14,11,14
"11143","AFUN019336",48,25,48,25
"11144","AFUN019337",154,323,154,323
"11145","AFUN019338",12,0,12,0
"11146","AFUN019339",64,98,64,98
"11147","AFUN019340",0,0,0,0
"11148","AFUN019341",0,18,0,18
"11149","AFUN019342",88,35,88,35
"11150","AFUN019343",0,0,0,0
"11151","AFUN019344",68,138,68,138
"11152","AFUN019345",2017,428,2017,428
"11153","AFUN019346",72,38,72,38
"11154","AFUN019347",9,42,9,42
"11155","AFUN019348",0,0,0,0
"11156","AFUN019349",642,196,642,196
"11157","AFUN019350",25,10,25,10
"11158","AFUN019351",38,69,38,69
"11159","AFUN019352",0,0,0,0
"11160","AFUN019353",96,69,96,69
"11161","AFUN019354",1334,229,1334,229
"11162","AFUN019355",764,158,764,158
