"","kombewa_05_susceptible","komb_06_susceptible","komb_04_susceptible","PortVict_susceptible","teso_susceptible","kombe_01_resistant","komb_02_resistant","Siaya_resistant","PortVict_resistant","Teso_resistant"
"AFUN002412",56.7389266888637,32.6412544535132,32.4943073471196,45.8477053437787,74.8677787408789,45.5558140071476,54.8239687165316,57.3133063544072,67.5430328904773,79.5278153449127
"AFUN002413",198.586243411023,127.456326913718,127.023201447831,76.7949064508293,103.567093924882,166.008474771809,146.197249910751,156.417565258903,237.971383323426,288.781854302094
"AFUN002414",13.8210206036976,34.1955999036805,28.0632654361488,11.4619263359447,33.6905004333955,12.3541190527858,18.2746562388439,29.8506803929204,53.4061190296797,14.1006764795945
"AFUN002415",29.8243076185053,65.2825089070264,36.9253492580905,29.8010084734561,33.6905004333955,24.7082381055716,10.9647937433063,38.2088709029382,37.6984369621269,36.6617588469456
"AFUN002416",81.471279348112,99.4781088107068,91.5748661600644,126.081189695391,72.3721861161829,118.136263442264,115.130334304716,102.089326943788,135.086065780955,115.061520073491
"AFUN002417",10004.2366506659,13975.1199424541,14090.7132768873,9083.57662123615,11733.0287250081,10178.2498346139,14155.5487226085,9084.15905717355,9344.5000619872,7962.3699944974
"AFUN002418",313.518941062824,167.869308618068,163.948550705922,903.19979527244,133.514205421234,307.308711438046,215.640943618358,431.043824873771,204.985250981565,160.747711867377
"AFUN002419",139.665050311049,83.9346543090339,118.16111762589,138.689308664931,64.885408242095,134.351044699045,107.820471809179,158.805619690337,150.793747848508,131.41830478982
"AFUN002420",31.2791518925787,27.9782181030113,39.8793771987377,19.4852747711059,16.2213520605238,50.1886086519423,42.0317093493409,32.2387348243541,32.2007482384834,42.3020294387834
"AFUN002421",2145.89530425831,2797.82181030113,2954.02794064724,1557.67578905488,3183.1283927997,1734.9815944756,2470.73352349169,1967.75685150132,1853.50648397124,1907.53951415954
"AFUN002422",4835.17494488304,3595.20102623695,3521.20130525151,7376.89578981399,2580.44277393563,4790.30966271769,3545.28331033571,4993.42181612773,4193.95111203662,3160.24361260671
"AFUN002423",20.367819837028,15.5434545016729,11.816111762589,19.4852747711059,27.4515188716556,24.7082381055716,16.4471906149595,16.119367412177,10.995377447287,1.69208117755133
"AFUN002424",98.2019884999565,107.249836061543,62.034586753592,111.180685458663,51.1596488062672,60.9984628231298,85.8908843225662,59.7013607858409,102.099933439094,40.0459212020482
"AFUN002425",845.991945373699,621.738180066918,550.92621093071,743.879019202809,546.534784808416,870.965393221398,528.137565302588,934.32629629841,1048.48777800915,858.44918407771
"AFUN002426",5306.54448968283,3946.48309797476,3835.80528093044,6911.54158057464,4791.53783941625,5262.85471648675,4108.1427224921,6266.85184168972,5040.59517547771,6057.65061563378
"AFUN002427",844.537101099626,578.216507462233,602.621699892037,646.452645347279,487.888358128061,1535.77142474943,1050.79273373352,1453.13112152737,176.71142325997,113.933465955123
"AFUN002430",497.556741733113,576.662162012066,651.363160912716,386.266917521335,572.738507367723,515.012338013008,720.021455810448,411.342375814444,562.335018018393,596.176601557253
"AFUN002432",78.5615907999652,130.565017814053,104.867991892977,107.74210755788,73.6199824285309,124.313322968657,129.750059295791,121.193762395257,144.510675021486,99.2687624163449
"AFUN002434",5.81937709629372,6.21738180066918,0,16.0466968703225,29.9471114963516,7.72132440799112,9.13732811942193,1.19402721571682,4.71230462026586,3.94818941428645
"AFUN002435",74.1970579777449,102.586799711041,88.6208382194171,64.1867874812902,67.381000866791,84.9345684879023,116.957799928601,94.3281500416286,120.949151920157,146.083008328599
"AFUN002436",404.446708192413,247.1409265766,285.063696272458,312.91058897129,167.20470585463,415.407253149922,310.669156060346,519.998852444674,413.897422480018,395.946995547012
"AFUN002437",23.2775083851749,17.0977999518402,19.201181614207,29.8010084734561,8.73457418643587,23.1639732239734,29.2394499821502,28.6566531772036,45.5522779959033,12.9726223612269
"AFUN002438",47.2824389073865,32.6412544535132,11.816111762589,58.4558243133178,19.9647409975677,42.4672842439511,25.5845187343814,53.7312247072568,100.529165232338,53.5825706224589
"AFUN002445",117.842386199948,71.4998907076955,124.069173507184,171.92889503917,99.8237049878385,112.73133635667,73.0986249553755,156.417565258903,174.355270949837,173.720334228604
"AFUN002446",3176.65247243933,2376.59419330579,2491.72256793595,3476.40225769202,2434.45060539091,2611.3519147826,2107.0678643387,2810.74006579739,2636.53443503875,2419.11205683922
"AFUN002450",1062.0363200736,1450.20430500609,1432.70355121391,734.709478134053,1725.70229997726,943.545842656515,1288.36326483849,959.997881436321,811.301778789105,930.08062059405
"AFUN002451",854.72101101814,632.618598218089,639.547049150127,651.037415881657,596.446637302335,891.040836682175,683.472143332761,699.699948410055,918.899400951843,845.476561716483
"AFUN002452",53.1018160036802,73.0542361578628,64.9886146942392,45.8477053437787,97.3281123631426,54.8214032967369,56.651434340416,47.1640750208143,102.885317542471,74.4515718122587
"AFUN002453",141.119894585123,133.673708714387,156.563480854304,118.05784126023,479.153783941625,91.8837604550943,138.887387415213,109.253490238089,157.862204778906,176.540469524523
"AFUN002455",982.019884999565,721.216288877625,711.920733695984,1197.77130210622,618.906970924599,713.450375298379,624.99324336846,1004.17688841784,719.411838693921,473.21870265519
"AFUN002456",69.8325251555246,52.847745305688,64.9886146942392,61.8944022141012,59.8942229927031,58.6820655007325,82.2359530747974,60.8953880015577,54.1915031330574,49.6343812081725
"AFUN002457",101.83909918514,69.9455452575283,56.1265308722975,197.145132978248,32.4427041210475,91.1116280142952,71.2711593314911,81.790864276602,111.524542679625,98.1407082979774
"AFUN002459",848.901633921846,1181.30254212714,1255.46187477508,1311.24437283207,847.253696084279,912.66054502455,1299.3280585818,922.9830377491,1207.13536689144,736.05531223483
"AFUN002460",627.037882125648,842.455233990673,850.760046906405,561.634390461289,697.518138602522,480.266378177047,650.577762102842,659.103023075683,618.882673461583,496.343812081725
"AFUN002461",40.0082175370193,60.6194725565245,57.6035448426211,103.157337023502,43.6728709321794,53.2771384151387,62.1338312120692,90.1490547866197,70.6845693039879,53.0185435632751
"AFUN002465",180.400689985105,132.11936326422,128.500215418155,143.274079199308,86.0979455520107,164.464209890211,135.232456167445,240.596483966939,249.752144874091,249.863987218414
"AFUN002466",65.4679923333043,59.0651271063572,64.9886146942392,42.4091274429953,77.3633713655748,111.187071475072,120.61273117637,97.910231688779,56.5476554431903,68.2472741612371
"AFUN002468",71.287369429598,76.1629270581974,73.850698516181,140.981693932119,311.949078086995,60.9984628231298,52.9965030926472,87.1639867473277,63.6161123735891,60.3508953326643
"AFUN002469",301.1527647332,244.032235676265,206.781955845307,224.653756184516,136.00979804593,416.95151803152,279.602240454311,324.775402674974,416.253574790151,347.440668457207
"AFUN002470",303.33503114431,456.977562349185,459.351344770645,400.021229124469,420.50735726127,280.284076010078,425.799490365062,287.163545379895,295.304422869994,284.269637828624
"AFUN002473",976.927930040308,1405.12828695123,1469.628900472,845.890163592717,1902.88937633067,920.381869432541,1195.16251802039,857.311540884675,1039.06316876862,984.791245334876
"AFUN002474",437.180704359066,545.57525300872,570.127392544917,364.489257483041,1051.89229130935,525.050059743396,720.021455810448,433.431879305205,553.695792881239,548.234301526632
"AFUN002475",3031.89546716903,2205.61619378739,2379.46950619135,1283.7357496258,1936.57987676407,4079.94781718251,2976.94150130767,3786.26030103803,4178.24342996906,4480.06693109675
"AFUN002476",2123.34521801017,2423.22455681081,2506.49270763918,1345.6301518399,1395.03627720504,3218.2480132507,3578.17769156563,2599.99426222337,3055.92954624241,2921.66016657197
"AFUN002477",42.9179060851662,51.2933998555207,53.1725029316503,122.642611794608,617.659174612251,284.144738214073,303.359293564808,93.1341228259118,12.5661456540423,21.9970553081673
"AFUN002478",571.026377573821,421.227616995337,432.76509330482,213.191829848571,822.29776983732,861.699803931809,568.341809028044,550.446546445453,647.156501183178,574.74357330827
"AFUN002479",178.945845711032,265.793071978607,288.017724213106,312.91058897129,635.128322985123,382.20555819556,504.380512192091,328.357484322125,164.930661709305,168.64409069595
"AFUN002480",3335.23049831334,3685.35306234665,3837.28229490076,2145.67261008884,6220.26461705469,2605.946987697,2922.11753259113,1379.10143415292,592.964998050121,533.00557092867
"AFUN002482",131.663406803645,163.206272267566,177.241676438834,183.390821375115,284.49755921534,77.9853765207103,105.993006185294,183.283177612531,117.807615506646,72.7594906347074
"AFUN002483",90.2003449925526,111.912872412045,100.436949982006,96.2801812219352,94.8325197384466,82.618171165505,85.8908843225662,92.5371092180533,90.319171888429,124.085953020431
"AFUN002484",3428.34053185404,2659.48506523624,2434.11902309332,1517.55904687907,1852.97752383675,4173.3758425192,3368.01914481892,3333.72398628135,2585.4844683192,3269.66486208836
"AFUN002485",1817.10049831771,2319.0834116496,2348.45221281455,2355.42586203663,3903.10686502449,2225.28569438304,3013.49081378535,2641.1882011656,1767.89961670308,1853.39291647789
"AFUN002486",592.849041684922,433.662380596675,417.994953601584,510.055721949538,459.189042944057,613.073157994495,370.975521648531,626.267274643471,528.563501573154,639.04265805522
"AFUN002490",66.195414470341,52.847745305688,73.850698516181,129.519767596175,199.647409975677,50.1886086519423,73.0986249553755,85.9699595316109,55.7622713398127,90.8083565285883
"AFUN002498",84.3809678962589,91.7063815598704,103.390977922653,38.9705495422119,46.1684635568753,79.5296414023085,98.6831436897569,65.671496864425,112.309926783003,109.421249481653
"AFUN002499",5.81937709629372,3.10869090033459,10.3390977922653,24.0700453054838,4.99118524939193,9.26558928958934,14.6197249910751,12.5372857650266,1.57076820675529,14.1006764795945
