"","Siaya_resistant","Siaya_susceptible","komb_02_resistant","komb_06_susceptible"
"AFUN021992",33.5716641538173,31.4304207938945,27.5172868454106,43.7846186926826
"AFUN021994",273.369265252512,218.848855898228,174.276150020934,192.339574971427
"AFUN021995",815.311843735563,788.670743994946,709.946000611595,653.641807626476
"AFUN021996",110.3068965054,76.24787266667,82.5518605362319,79.7505554759576
"AFUN021997",20.9822900961358,27.9381518167951,22.0138294763285,18.7648365825782
"AFUN021998",23.9797601098695,66.935155394405,47.6966305320451,29.7109912557489
"AFUN021999",35.3701461620575,34.3406449414773,25.6828010557166,23.4560457282228
"AFUN022000",709.800899252137,494.156060259564,1016.3051274905,905.4033651094
"AFUN022001",495.182046268805,916.138561659073,519.159478483414,694.298953555395
"AFUN022002",25.178748115363,57.0403932926234,20.1793436866345,28.1472548738674
