"","komb_02_resistant","kombe_01_resistant","komb_04_susceptible","komb_06_susceptible","kombewa_05_susceptible","Kombewa_07_unexp","Siaya_unexposed"
"AFUN000971",183.513013677583,287.526097808795,164.068707883588,162.628740240426,179.225817182687,283.678566433923,263.29306351066
"AFUN000975",43.2672959077229,33.5658219908946,37.3980142969942,29.2223517619516,30.8600744817871,31.3803723931331,71.3085380341371
"AFUN000976",41.7753201867669,22.1661088619115,42.2235645288644,49.5509442920049,37.9816301314303,26.9871202580945,65.823265877665
"AFUN000978",278.999459818765,411.6563074355,277.469138332538,278.247610255105,366.760115956623,350.832563355228,1042.2017097297
"AFUN000980",132.785839165081,89.2977528437007,108.57488021708,97.8313515508816,74.7763343212533,87.8650427007727,142.617076068274
"AFUN000981",560.982871079442,702.348992224568,568.208539802719,548.871998311439,738.861398650479,795.178636441993,638.119994202919
"AFUN000985",610.218069870988,493.354251526545,582.685190498329,566.659516775236,380.409764285106,409.827663454318,415.052259839721
"AFUN000986",1790.37086514715,1336.29970567524,1956.76061902337,1895.64125342747,1388.10988870962,1256.47011062105,1493.82245061256
"AFUN000988",44.7592716286788,25.3326958421846,42.2235645288644,48.2804072588766,27.2992966569655,27.6147277059571,31.0832088866751
"AFUN000991",177.545110793759,255.860228006064,138.734569166269,129.59477737909,188.12776174474,262.967520654455,235.8667027283
"AFUN000992",82.0586646525779,86.1311658634276,54.28744010854,41.927722093235,36.2012412190195,75.3128937435194,89.5927785557107
"AFUN000993",265.571678330161,347.057933037929,246.103061825381,274.43599915572,358.451634365373,425.517849650885,563.154608064467
"AFUN000994",293.919217028324,328.691728552345,253.341387173187,251.56633255941,377.442449431088,325.728265440721,351.057418014213
"AFUN000995",305.855022795972,206.461471113804,174.926195905296,175.33411057171,140.057261109649,190.792664150249,186.499253320051
"AFUN000999",496.827915078335,727.048370670698,583.891578056297,581.905961172776,856.960529840395,819.655326908636,1067.7996464599
"AFUN001000",219.320430980526,213.427962470405,229.213636013835,212.179684532431,182.193132036704,200.834383316052,255.979367302031
"AFUN001001",116.374106234565,148.19627067678,108.57488021708,80.0438330870849,107.416797715451,171.964440714369,224.896158415355
"AFUN001003",311.822925679796,257.760180194228,529.604137947757,594.611331504059,461.714191285199,231.587148261322,354.714266118528
"AFUN001007",695.260685965478,601.01820885583,927.71203207705,957.984922978762,837.96971477468,527.190256204636,563.154608064467
"AFUN001008",469.972352101128,689.049326907421,506.682774346373,489.156757754408,732.33330597164,676.56082879595,1075.11334266853
"AFUN001009",2.98395144191192,11.3997131289831,22.9213636013836,12.7053703312833,15.4300372408935,10.0417191658026,7.31369620862944
"AFUN001010",9107.01980071519,11611.8744566614,9824.82027208777,9750.10119222682,12138.098141846,12338.7624249799,9591.91257761752
"AFUN001011",796.715034990483,644.083791787544,1217.24504598926,1189.22266300812,964.377327555846,714.217275667709,588.75254479467
"AFUN001012",96.9784218621375,131.73001837936,67.5577032461831,76.2322219876999,124.033760897952,106.693266136653,117.019139338071
"AFUN001013",8.95185432573577,11.3997131289831,9.65110046374044,11.434833298155,10.0888705036612,3.76564468717597,3.65684810431472
"AFUN001014",10.4438300466917,24.69937844613,21.714976043416,34.304499894465,20.7712039781259,11.2969340615279,12.7989683651015
"AFUN001015",1335.31827025559,1001.27480316235,2087.05047528387,2021.42441970718,1513.33057554917,952.080498407658,952.608931173985
"AFUN001016",343.154415819871,408.489720455227,285.913851238311,288.411906520131,334.119652562426,426.145457098747,513.787158656218
"AFUN001017",1472.58003658353,1181.13694364186,1477.82475851026,1466.1997362301,1281.28655396497,1181.78482432539,1351.20537454429
"AFUN001018",62.6629802801504,51.2987090804238,36.1916267390267,31.7634258282083,30.2666115109835,57.1122777555022,80.4506582949239
"AFUN001025",183.513013677583,259.026814986338,167.68787055749,170.251962439196,196.436243335991,220.917821647657,226.724582467513
"AFUN001026",362.550100192299,283.726193432468,312.454377513597,329.069091580238,268.83872577403,270.498810028807,208.440341945939
"AFUN001027",343.154415819871,533.88656487404,296.771339260019,307.469962017056,459.340339401985,433.049139025237,426.022804152665
"AFUN001028",9576.99215281632,13677.1224851955,10428.0140510715,10333.2776904327,14544.5904884546,14082.2559151424,13391.3777580005
"AFUN001030",162.6253535842,139.329827132015,126.670693586593,119.430481114063,139.463798138845,134.935601290472,122.504411494543
"AFUN001033",141.737693490816,122.230257438541,142.353731840172,128.324240345962,118.099131189916,128.659526811846,133.474955807487
"AFUN001034",1955.98017017327,2727.69802480723,1880.75820287142,1819.40903143977,2629.63442363074,3133.64398717827,1223.21569089327
"AFUN001035",255.127848283469,177.962188291347,215.943372876192,193.121629035506,150.739594584114,176.357692849408,104.22017097297
"AFUN001036",311.822925679796,349.591202622147,184.577296369036,199.474314201148,258.749855270369,358.991460177443,389.454323109518
"AFUN001037",155.16547497942,267.259941135048,154.417607419847,130.865314412218,254.00215150394,344.556488876601,287.062576188706
"AFUN001038",395.37356605333,554.786038943843,445.157008890028,376.078961805986,516.31278459913,627.607447862662,517.444006760533
"AFUN001040",3553.8861673171,2811.92923848249,4254.92891695157,4166.0909316278,3347.72461830309,2781.55620892732,2386.09338806536
"AFUN001041",25.3635872562513,8.86644354476461,24.1277511593511,15.24644439754,10.0888705036612,2.51042979145065,3.65684810431472
"AFUN001042",113.390154792653,75.3647701304992,124.257918470658,132.135851445347,61.7201489635742,98.5343693144379,84.1075063992386
"AFUN001043",38.791368744855,19.6328392776931,22.9213636013836,8.89375923189832,14.8365742700899,27.6147277059571,32.9116329388325
"AFUN001046",28.3475386981633,50.0320742883146,18.0958133695133,17.7875184637966,23.7385188321439,107.948481032378,78.6222342427665
"AFUN001047",255.127848283469,198.228344965094,302.803277049856,317.634258282083,227.889780788582,212.758924825442,230.381430571827
"AFUN001049",2115.62157231555,2945.55920905001,2732.46781879651,2539.80352922354,3423.68787856596,2737.62368757693,2536.02416034226
"AFUN001050",7.45987860477981,13.2996653171469,14.4766506956107,10.1642962650267,23.7385188321439,12.5521489572532,18.2842405215736
"AFUN001051",207.384625212879,362.25755054324,314.867152629532,303.658350917671,479.518080409307,290.582248360412,566.811456168782
"AFUN001052",96.9784218621375,139.329827132015,130.289856260496,133.406388478475,154.893835379739,169.454010922919,191.984525476523
"AFUN001056",26.8555629772073,68.3982787738984,59.1129903404102,39.3866480269783,48.0705006350914,52.7190256204636,127.989683651015
"AFUN001059",20.8876600933835,12.0330305250377,16.8894258115458,12.7053703312833,13.0561853576792,13.8073638529786,0
"AFUN001061",174.561159351847,181.762092667675,155.623994977815,134.676925511603,191.095076598758,174.47487050582,102.391746920812
"AFUN001062",916.07309266696,692.215913887694,965.110046374044,1039.29929309898,787.525362256374,726.769424624962,669.203203089594
"AFUN001066",187.988940840451,223.561040807279,214.736985318225,195.662703101763,248.067521795904,241.628867427125,321.802633179696
"AFUN001067",243.192042515822,305.892302294379,186.990071484971,231.237740029356,317.502689379925,261.71230575873,254.150943249873
"AFUN001073",668.405122988271,718.181927125933,639.385405722804,598.422942603444,665.865453241637,716.100098011297,513.787158656218
"AFUN001074",23.8716115352954,6.96649135660077,7.23832534780533,7.62322219876999,5.34116673723238,3.13803723931331,5.48527215647208
"AFUN001075",61.1710045591944,57.63188304097,42.2235645288644,45.73933319262,52.2247414307166,36.4012319760344,89.5927785557107
"AFUN001077",353.598245866563,250.160371441573,221.97531066603,254.107406625666,208.305502752063,205.22763545109,153.587620381218
"AFUN001078",110.406203350741,31.6658698027308,218.356147992127,188.039480902993,42.1358709270554,51.4638107247383,58.5095696690355
"AFUN001081",7.45987860477981,3.79990437632769,16.8894258115458,12.7053703312833,14.8365742700899,6.90368192648928,12.7989683651015
"AFUN001084",55.2031016753706,37.9990437632769,60.3193778983778,41.927722093235,42.1358709270554,30.1251574974078,82.2790823470812
"AFUN001085",513.239648008851,383.790342009097,652.655668860447,738.182016247561,490.200413883772,369.033179343245,581.438848586041
