"","PortVict_resistant","PortVict_susceptible","PortVict_susceptible.1","PortVict_resistant.1"
"AFUN011301",99.6125828731826,105.328058939677,105.328058939677,99.6125828731826
"AFUN011302",45.7238085319527,37.9670910131393,37.9670910131393,45.7238085319527
"AFUN011303",195.959179422654,292.71402426259,292.71402426259,195.959179422654
"AFUN011304",114.309521329882,53.8887743412299,53.8887743412299,114.309521329882
"AFUN011305",480.099989585503,240.049994792751,240.049994792751,480.099989585503
"AFUN011306",30.2103734943259,0,0,30.2103734943259
"AFUN011307",13.8804418757713,12.2474487139159,12.2474487139159,13.8804418757713
"AFUN011308",57.9712572458685,20.820662813657,20.820662813657,57.9712572458685
"AFUN011311",48.1732982747358,86.9568858688028,86.9568858688028,48.1732982747358
"AFUN011312",271.893361448933,206.981883265179,206.981883265179,271.893361448933
"AFUN011313",20.4124145231931,8.57321409974112,8.57321409974112,20.4124145231931
"AFUN011314",61.2372435695794,102.878569196893,102.878569196893,61.2372435695794
"AFUN011318",901.412225344209,1928.97317244175,1928.97317244175,901.412225344209
"AFUN011319",400.899821235513,518.067080598642,518.067080598642,400.899821235513
"AFUN011320",82.4661546737003,145.744639695599,145.744639695599,82.4661546737003
"AFUN011322",258.829416154089,181.262240965955,181.262240965955,258.829416154089
"AFUN011323",195.959179422654,178.812751223172,178.812751223172,195.959179422654
"AFUN011324",188.610710194305,243.724229406926,243.724229406926,188.610710194305
"AFUN011325",31.8433666561813,404.165807559224,404.165807559224,31.8433666561813
"AFUN011326",377.221420388609,674.834424136766,674.834424136766,377.221420388609
"AFUN011327",413.963766530357,155.542598666732,155.542598666732,413.963766530357
"AFUN011328",179.6292478041,237.600505049968,237.600505049968,179.6292478041
"AFUN011329",311.901693914391,339.25432937547,339.25432937547,311.901693914391
"AFUN011332",1409.27309868126,3150.04380921917,3150.04380921917,1409.27309868126
"AFUN011333",120.024997396376,345.378053732428,345.378053732428,120.024997396376
"AFUN011335",107.77754868246,44.0908153700972,44.0908153700972,107.77754868246
"AFUN011336",7250.48963863821,5804.06594552474,5804.06594552474,7250.48963863821
"AFUN011338",819.762567251437,847.52345100298,847.52345100298,819.762567251437
"AFUN011339",487.448458813852,480.099989585503,480.099989585503,487.448458813852
"AFUN011340",986.327869760693,689.531362593465,689.531362593465,986.327869760693
"AFUN011341",13.8804418757713,17.1464281994822,17.1464281994822,13.8804418757713
"AFUN011342",637.683829704554,587.877538267963,587.877538267963,637.683829704554
"AFUN011344",26.1278905896872,33.0681115275729,33.0681115275729,26.1278905896872
"AFUN011345",425.394718663345,1911.82674424227,1911.82674424227,425.394718663345
"AFUN011346",27.7608837515427,26.944387170615,26.944387170615,27.7608837515427
"AFUN011348",2488.68157866771,1381.51221492971,1381.51221492971,2488.68157866771
"AFUN011349",122.474487139159,112.676528168026,112.676528168026,122.474487139159
"AFUN011354",17.1464281994822,26.944387170615,26.944387170615,17.1464281994822
"AFUN011358",414.780263111285,221.678821721878,221.678821721878,414.780263111285
"AFUN011360",75.1176854453508,62.461988440971,62.461988440971,75.1176854453508
"AFUN011371",4.08248290463863,360.074992189127,360.074992189127,4.08248290463863
"AFUN011378",268.627375125222,226.577801207444,226.577801207444,268.627375125222
"AFUN011380",137.171425595858,121.249742267767,121.249742267767,137.171425595858
"AFUN011381",785.469710852472,448.256622929322,448.256622929322,785.469710852472
"AFUN011382",92.264113644833,131.0477012389,131.0477012389,92.264113644833
"AFUN011383",542.970226316938,1044.70737529703,1044.70737529703,542.970226316938
"AFUN011384",1601.14979519927,1235.76757523411,1235.76757523411,1601.14979519927
"AFUN011385",78.3836717690617,56.3382640840131,56.3382640840131,78.3836717690617
"AFUN011386",2205.35726508579,2150.65199416363,2150.65199416363,2205.35726508579
"AFUN011387",311.085197333464,357.625502446344,357.625502446344,311.085197333464
"AFUN011388",144.519894824207,247.398464021101,247.398464021101,144.519894824207
"AFUN011389",2958.16711270115,7099.84601945704,7099.84601945704,2958.16711270115
