"","PortVict_resistant","PortVict_susceptible","Siaya_susceptible","Siaya_resistant"
"AFUN007859",244.173844866331,184.655781002453,183.339811317925,188.466835456638
"AFUN007860",3159.95691285172,3865.66282524808,6349.87422140192,5315.71103687531
"AFUN007861",1990.17008284357,2199.22008029971,3404.11187484837,2485.55424836537
"AFUN007862",172.65849281343,75.6785987714972,116.320636592465,131.69021557012
"AFUN007863",129.74928158169,52.9750191400481,107.076612492402,146.67293470684
"AFUN007864",1265.82173133633,971.713208226025,1452.08211905163,1200.98322343289
"AFUN007871",381.074661653311,145.302909641275,207.220206909756,208.969503748992
"AFUN007872",264.606802595731,202.818644707613,197.976182809692,234.203557031889
"AFUN007873",111.35961962523,66.5971669189176,71.6411867754918,101.724777296679
"AFUN007874",344.295337740391,255.793663847661,288.875753126983,261.803302810058
"AFUN007875",0,10.5950038280096,16.177042175111,0
"AFUN007876",11.23812675117,16.6492917297294,23.1100602501586,8.67420581599591
"AFUN007877",210.459464612821,196.764356805893,161.77042175111,212.123760409354
"AFUN007878",388.226196858601,7638.99775999493,1426.66105277646,2617.24446393549
"AFUN007879",450.546717933271,220.981508412772,286.564747101967,322.52274352203
"AFUN007880",983.846914670612,1182.09971281079,1006.82829156524,846.129349142146
"AFUN007882",5203.25268579172,7026.0011099458,5040.3041405596,6151.58905187128
"AFUN007883",245.195492752801,537.31805127763,182.569475976253,292.557305248589
"AFUN007884",3387.78439153453,5079.54754954289,3634.44214200828,3749.6226050055
"AFUN007885",13.28142252411,22.7035796314492,19.2583835417989,12.6170266414486
"AFUN007886",5010.16123524889,5566.91772563134,8041.53063171353,5770.71256013255
"AFUN007887",0,34.8121554348887,36.9760964002538,22.079796622535
"AFUN007890",2397.8075895451,2158.3536369631,2090.69011729768,2116.506219103
"AFUN007891",28.6061408211601,3.02714395085989,15.4067068334391,6.30851332072429
"AFUN007892",652.832999454332,579.698066589669,434.469132702982,641.891230383697
"AFUN007893",57.2122816423201,336.012978545448,123.253654667513,214.489452904626
"AFUN007894",1564.14291418557,1658.87488507122,1563.0104082524,1367.37026226699
"AFUN007895",1827.72806889483,1554.43841876655,2418.85297284994,1969.83328439616
"AFUN007896",10.2164788647,16.6492917297294,89.3588996339467,12.6170266414486
"AFUN007897",37.8009717993901,68.1107388943475,50.071797208677,32.331130768712
"AFUN007898",133.83587312757,89.3007465503668,108.617283175746,93.8391356457739
"AFUN007899",127.70598580875,87.7871745749368,111.698624542433,93.0505714806834
"AFUN007900",442.373534841511,475.261600285003,412.899743136168,432.921726634705
"AFUN007901",483.239450300311,298.173679159699,264.995357535152,309.905716880581
"AFUN007902",2219.01920941285,2948.43820813753,2545.95830422581,3550.90443540269
"AFUN007903",391.291140518011,272.44295557739,406.737060402792,380.876491738729
"AFUN007905",845.924449997162,342.067266447168,662.488393837881,882.403300736311
